정보공시 학교코드,학교도로명주소,학교도로명상세주소,전화번호,홈페이지주소,남녀공학구분
S050000250,광주광역시 북구 면앙로 19,", 문흥초등학교 (문흥동)",062-250-7700,http://www.munhung.es.kr,남녀공학
S050000252,광주광역시 서구 전평길 40-1,(매월동),622271016,http://www.salesio.es.kr,남녀공학
S050000253,광주광역시 북구 송해로 21,", 삼각초등학교 (삼각동)",062-570-6502,http://www.samgak.es.kr/,남녀공학
S050000254,광주광역시 북구 밤실로208번길 55,"(두암동,삼정초등학교)",062-250-5804,http://k-samjung.es.kr,남녀공학
S050000255,광주광역시 북구 설죽로 590,(일곡동),062-570-5702,http://www.seoil.es.kr,남녀공학
S050000256,광주광역시 북구 대천로 55,"(오치동,오정초등학교)",062-250-1703,http://www.k-ojong.es.kr/,남녀공학
S050000257,광주광역시 북구 설죽로 290,", 오치초등학교 (오치동)",062-250-0608,http://www.ochi.es.kr/,남녀공학
S050000258,광주광역시 북구 임방울대로1041번길 25,", 용두초등학교 (신용동)",062-605-7501,http://www.k-yongdu.es.kr/,남녀공학
S050000260,광주광역시 북구 용주로 15,", 용주초등학교 (용봉동)",062-510-5601,http://www.yongju.es.kr,남녀공학
S050000262,광주광역시 동구 밤실로 142,", 율곡초등학교 (산수동)",062-260-2204,http://k-yulgok.es.kr,남녀공학
S050000263,광주광역시 북구 설죽로 530,"(일곡동,광주일곡초등학교)",062-570-1608,http://www.ilgok.es.kr/,남녀공학
S050000264,광주광역시 북구 일곡택지로 45,", 일동초등학교 (일곡동)",062-570-1000,http://www.k-ildong.es.kr,남녀공학
S050000265,광주광역시 북구 일곡마을로 187,", 일신초등학교 (일곡동)",062-606-8700,http://www.k-ilshin.es.kr/,남녀공학
S050000266,광주광역시 북구 청계로 33,"(용봉동,태봉초등학교)",062-519-1700,http://www.k-taebong.es.kr,남녀공학
S050000411,광주광역시 서구 월산로 266,(농성동),062-360-6702,http://www.gwangcheon.es.kr,남녀공학
S050000412,광주광역시 서구 상무버들로54번길 5,"(유촌동, 극락초등학교)",062-370-2604,http://www.kukrak.es.kr/,남녀공학
S050000413,광주광역시 남구 금화로481번길 7,"(월산동,농성초등학교)",062-360-6520,http://www.nongsung.es.kr,남녀공학
S050000414,광주광역시 남구 서동로2번길 8,", 광주대성초등학교 (서동)",062-650-3902,http://www.k-daesung.es.kr,남녀공학
S050000415,광주광역시 남구 큰방림길 20,", 광주방림초등학교 (방림동)",062-670-7209,http://www.banglim.es.kr,남녀공학
S050000416,광주광역시 남구 독립로 51,", 광주백운초등학교 (백운동)",062-670-9125,http://baekun.es.kr,남녀공학
S050000417,광주광역시 남구 봉주길 32,", 광주봉주초등학교 (주월동)",062-650-6600,www.boungju.es.kr,남녀공학
S050000418,광주광역시 남구 회서로 30,"(주월동,삼육중고등학교)",070-4018-7011,http://gwangju36.es.kr,남녀공학
S050000419,광주광역시 서구 금호운천길 67,(금호동),062-370-2804,www.sangmoo.es.kr,남녀공학
S050000420,광주광역시 서구 화운로194번길 6,(화정동),062-360-4104,http://www.seo.es.kr,남녀공학
S050000421,광주광역시 남구 송암로 73,"(송하동,광주송원초등학교)",623605591,http://www.k-songwon.es.kr,남녀공학
S050000422,광주광역시 서구 경열로121번길 5,(양동),062-606-5700,http://www.k-yangdong.es.kr/index.html,남녀공학
S050000423,광주광역시 남구 월산로116번길 6,", 월산초등학교 (월산동)",062-720-3505,http://www.woulsan.es.kr,남녀공학
S050000424,광주광역시 남구 봉선로51번길 14,"(주월동,제석초등학교)",062-650-6701,http://www.jeseok.es.kr,남녀공학
S050000425,광주광역시 남구 양림로 92,"(양림동,학강초등학교)",627205307,http://www.hakkang.es.kr,남녀공학
S050000426,광주광역시 서구 월드컵4강로146번길 10,"(화정동,화정초등학교)",062-380-2702,http://www.kjhwajeong.es.kr,남녀공학
S050000427,광주광역시 남구 화산로 7,", 광주효덕초등학교 (진월동)",626501104,http://www.kjhd.es.kr,남녀공학
S050000428,광주광역시 광산구 임방울대로165번길 60,(운남동),062-958-6577,www.k-kumgu.es.kr,남녀공학
S050000429,광주광역시 서구 풍암중앙로 83,", 금당초등학교 (풍암동)",062-670-6203,http://www.geumdang.es.kr,남녀공학
S050000430,광주광역시 서구 금화로115번길 22,(금호동),062-410-1701,http://www.kumboo-e.es.kr,남녀공학
S050000431,광주광역시 서구 금부로95번길 26-11,"(쌍촌동,금호초등학교)",623707171,http://www.k-kumho.es.kr/,남녀공학
S050000433,광주광역시 남구 고싸움로152번길 1,(지석동),062-380-7100,http://www.daechon-j.es.kr/,남녀공학
S050000434,광주광역시 광산구 동곡로 151-17,", 동곡초등학교 (하산동)",062-943-3332,http://donggok.es.kr,남녀공학
S050000435,광주광역시 서구 마재로 27,", 마재초등학교 (금호동)",062-670-5203,http://www.majae.es.kr,남녀공학
S050000436,광주광역시 광산구 목련로219번길 104,"(운남동,마지초등학교)",062-958-7400,http://www.k-maji.es.kr/,남녀공학
S050000437,광주광역시 남구 월지길 7,(무학초등학교),062-374-5485,http://www.moohak.es.kr,남녀공학
S050000438,광주광역시 광산구 첨단중앙로181번길 70,(월계동),062-970-9600,http://www.misan.es.kr,남녀공학
S050000439,광주광역시 광산구 목련로153번길 20,(운남동),062-958-5800,http://www.mogryeon.es.kr,남녀공학
S050000440,광주광역시 서구 학생독립로 16,(화정동),062-602-5504,http://seongjin.es.kr,남녀공학
S050000443,광주광역시 광산구 용진로 323,", 본량초등학교 (남산동)",062-943-9662,http://www.ponryang.es.kr/,남녀공학
S050000445,광주광역시 남구 봉선중앙로118번길 4,(봉선동),062-670-4130,www.bongsun.es.kr,남녀공학
S050000447,광주광역시 광산구 비아동원촌길 19-20,(비아동),062-958-9902,http://www.bia.es.kr,남녀공학
S050000448,광주광역시 광산구 산월로9번길 36,(월계동),062-970-4707,http://www.sanwol.es.kr,남녀공학
S050000451,광주광역시 광산구 용진로 9,(도덕동),062-949-1521,www.samdo.es.kr,남녀공학
S050000453,광주광역시 서구 상무오월로38번길 36,"(쌍촌동,서광초등학교)",370-1124,http://seo-gwang.es.kr,남녀공학
S050000454,광주광역시 광산구 사암로158번길 49,"(우산동,송우초등학교)",062-949-2501,http://www.k-songwoo.es.kr/,남녀공학
S050000457,광주 광산구 사암로27번길 58,(신촌동),062-949-2802,http://www.songjeong-d.es.kr/,남녀공학
S050000460,광주광역시 광산구 상무대로 114,(도산동),062-949-2303,http://songseo.es.kr,남녀공학
S050000462,광주광역시 광산구 어등대로653번길 90,", 송정중앙초등학교 (소촌동)",062-949-6704,http://www.sjc.es.kr/,남녀공학
S050000464,광주광역시 광산구 송도로208번길 25,(도산동),062-949-3707,http://www.k-songjeong.es.kr,남녀공학
S050000465,광주광역시 서구 눌재로 408,"(세하동,송학초등학교)",062-602-4012,http://www.songhak.es.kr,남녀공학
S050000466,광주광역시 광산구 신가로40번길 21,(신가동),062-960-5140,http://www.shinga.es.kr,남녀공학
S050000467,광주광역시 서구 풍암2로 56,"(풍암동,신암초등학교)",062-650-0673,http://www.sinarm.es.kr/,남녀공학
S050000468,광주광역시 광산구 월곡산정로 50,(우산동),062-958-0901,http://www.odung.es.kr,남녀공학
S050000469,광주광역시 서구 염화로134번길 28,", 염주초등학교 (화정동)",062-380-1140,http://www.yeomju.es.kr,남녀공학
S050000470,광주광역시 광산구 하남대로 248-22,"(운남동,운남초등학교)",062-958-5702,www.wunnam.es.kr,남녀공학
S050000472,광주광역시 서구 치평로 59,"(치평동,운천초등학교)",062-600-2702,http://www.woonchun.es.kr/,남녀공학
S050000474,광주광역시 광산구 첨단내촌로 83,(월계동),062-970-4802,,남녀공학
S050000475,광주광역시 광산구 월곡산정로 107,", 월곡초등학교 (월곡동)",062-958-3802,,남녀공학
S050000476,광주광역시 서구 상무버들로16번길 6-10,", 유덕초등학교 (유촌동)",062-380-6504,http://www.yudeok.es.kr,남녀공학
S050000477,광주광역시 남구 봉선로175번길 16,"(봉선동,유안초등학교)",062-650-3703,http://www.yuan.es.kr/,남녀공학
S050000478,광주광역시 서구 내방로 153,"(쌍촌동,유촌초등학교)",062-370-8700,http://www.k-yuchon.es.kr/,남녀공학
S050000480,광주광역시 광산구 하림길 26,(임곡동),720-3300,http://www.k-imgok.es.kr,남녀공학
S050000482,광주광역시 남구 회서로 27,", 장산초등학교 (주월동)",062-650-2392,http://www.k-jangsan.es.kr,남녀공학
S050000483,광주광역시 광산구 첨단과기로 104,(월계동),062-970-4104,http://www.jungam.es.kr,남녀공학
S050000485,광주광역시 남구 봉선로144번길 8,"(봉선동,조봉초등학교)",062-650-3503,,남녀공학
S050000486,광주광역시 서구 화운로 36,(화정동),062-602-3800,http://www.juwol.es.kr,남녀공학
S050000487,광주광역시 광산구 목련로394번길 40-10,", 진만초등학교 (신가동)",062-958-5600,http://jinman.es.kr,남녀공학
S050000488,광주광역시 남구 광복마을4길 40,"(진월동,진월초등학교)",062-670-3106,http://www.jinwoul.es.kr/,남녀공학
S050000489,광주광역시 서구 상무평화로 43,", 치평초등학교 (치평동)",062-370-5806,http://www.chipyung.es.kr/,남녀공학
S050000491,광주광역시 광산구 평동로 741,"(옥동,평동초등학교)",062-943-8296,www.pdong.es.kr,남녀공학
S050000492,광주광역시 서구 풍암중앙로 8,"(풍암동,풍암초등학교)",626707304,http://www.pungam.es.kr/,남녀공학
S050000493,광주광역시 광산구 수등로258번길 53,(신가동),062-958-8870,http://www.pungyoung.es.kr,남녀공학
S050000498,광주광역시 광산구 산정로6번길 21-20,"(월곡동,하남중앙초등학교)",062-958-9104,http://www.hnja.es.kr/,남녀공학
S050000499,광주광역시 광산구 하남대로54번길 10,(하남동),062-951-8510,http://www.k-hanam.es.kr,남녀공학
S050000501,광주광역시 서구 화개중앙로 48,(금호동),062-670-5106,http://hwakai.es.kr,남녀공학
S050000502,광주광역시 서구 염화로 37,", 화정남초등학교 (화정동)",062-602-2201,http://www.hwajungnam.es.kr/,남녀공학
S050000503,광주광역시 서구 광천2길 33,", 효광초등학교 (광천동)",062-606-8100,http://www.hyogwang.es.kr,남녀공학
S050001107,광주광역시 서구 상무시민로 51,"(치평동,계수초등학교)",062-380-2100,http://www.gyesu.es.kr/,남녀공학
S050001114,광주광역시 광산구 임방울대로 727-20,(월계동),062-970-3866,http://cheomdan.es.kr,남녀공학
S050001115,광주광역시 서구 풍암운리로23번길 5,"(풍암동,운리초등학교)",062-650-3800,http://www.unri.es.kr,남녀공학
S050001116,광주광역시 광산구 사암로340번길 19,(월곡동),062-958-6800,http://www.daeban.es.kr,남녀공학
S050001124,광주광역시 광산구 소촌로 122,"(소촌동, 어룡초등학교)",062-949-2602,http://www.eor.es.kr,남녀공학
S050001125,광주광역시 북구 능안로 7,", 문우초등학교 (오치동)",062-260-1502,http://moonwoo.es.kr,남녀공학
S050001134,광주광역시 광산구 목련로 123,", 영천초등학교 (월곡동)",062-958-5302,http://www.yeongch.es.kr,남녀공학
S050001135,광주광역시 남구 제석로80번길 58-5,", 불로초등학교 (봉선동)",062-650-1808,http://bullo.es.kr,남녀공학
S050001144,광주광역시 광산구 산월로 57,", 봉산초등학교 (산월동)",062-970-1871,http://www.bs.es.kr/,남녀공학
S050001150,광주광역시 광산구 산월로 101,(산월동),062-970-3600,http://www.k-wolbong.es.kr,남녀공학
S050001151,광주광역시 광산구 신창로35번길 67,(신가동),062-958-3270,http://www.k-sunchang.es.kr,남녀공학
S050001152,광주광역시 광산구 신창로162번길 10,(신창동),062-958-7170,http://www.g-sinchang.es.kr,남녀공학
S050001153,광주광역시 서구 금화로 53,"(금호동,만호초등학교)",062-370-0200,http://,남녀공학
S050001154,광주광역시 광산구 신창로105번길 9,(신창동),062-958-4271,http://www.sm79.es.kr,남녀공학
S050001164,광주광역시 북구 본촌택지로30번길 22,", 본촌초등학교 (본촌동)",062-606-6800,http://www.bonchon.es.kr,남녀공학
S050001165,광주광역시 북구 하서로229번길 47,"(양산동,연제초등학교)",062-605-9001,http://www.kj-yeonje.es.kr,남녀공학
S050001166,광주광역시 북구 자라봉로63번길 16,"(양산동,양지초등학교)",062-605-7770,http://www.gj-yangji.es.kr/,남녀공학
S050001167,광주광역시 서구 하남대로 710번길 19,"(동천동,광림초등학교)",062-510-3702,http://gwangrim.es.kr,남녀공학
S050001168,광주광역시 서구 동천로 7,(동천동),062-510-2703,http://www.bitgoeul.es.kr,남녀공학
S050001169,광주광역시 광산구 송정외로 6,"(도산동,도산초등학교)",062-940-7100,http://www.k-dosan.es.kr,남녀공학
S050001174,광주광역시 북구 유림로160번길 15,"(동림동,한울초등학교)",062-510-3602,http://www.hanul.es.kr,남녀공학
S050001175,광주광역시 북구 하백로5번길 10,", 하백초등학교 (매곡동)",062-570-9106,http://www.habaek.es.kr,남녀공학
S050001194,광주광역시 남구 효우로60번길 12,", 광주진남초등학교  (노대동)",062-670-8707,http://www.jn.es.kr,남녀공학
S050001229,광주 광산구 목련로22번길 11,"(산정동,산정초등학교)",062-960-3505,http://sanjeong.es.kr,남녀공학
S050001231,광주광역시 광산구 풍영로 300,(장덕동),062-956-8937,http://www.gosil.es.kr/,남녀공학
S050001233,광주광역시 광산구 수등로 27,(장덕동),062-975-2307,http://jangdeok.es.kr,남녀공학
S050001234,광주광역시 광산구 장덕로 143,"(수완동,수완초등학교)",062-960-9004,http://www.suwan.es.kr,남녀공학
S050001235,광주광역시 광산구 수등로 115,(신가동),062-960-2404,www.keunbyeol.es.kr,남녀공학
S050001239,광주광역시 남구 서문대로 654번길 45,(진월동),062-717-3900,http://www.jinje.es.kr,남녀공학
S050001246,광주광역시 광산구 풍영로 313,", 성덕초등학교 (장덕동)",062-717-4200,http://www.gwangju-sd.es.kr,남녀공학
S050001276,광주광역시 광산구 선운중앙로 11,", 선운초등학교 (선암동)",062-717-9300,http://www.seonun.es.kr,남녀공학
S050001285,광주광역시 북구 첨단연신로 232-10,(신용동),062-717-3500,http://www.hi-sinyong.es.kr,남녀공학
S050001287,광주광역시 북구 첨단연신로108번길 86,", 건국초등학교 (신용동)",062-718-3503,http://www.geonkuk.es.kr/,남녀공학
S050001289,광주광역시 남구 효우2로 70,(행암동),062-612-8500,http://hyocheon.es.kr,남녀공학
S050001373,광주광역시 광산구 수완로33번길 11,(수완동),062-712-6304,http://eunbit.es.kr,남녀공학
S050001416,광주광역시 광산구 풍영로101번길 22,(흑석동),062-713-6287,http://saebyeol.es.kr,남녀공학
S050001440,광주광역시 북구 하서로 985,", 광주북초등학교 (효령동)",062-717-1700,http://www.gj-buk.es.kr/,남녀공학
S050001464,광주광역시 동구 남계길 37,(내남동),062-220-7600,http://www.jihan.es.kr,남녀공학
S000003517,광주광역시 북구 용봉로 45,(용봉동),062-530-3800,http://chonnam-am.chonnam.ac.kr/,남녀공학
S050000169,광주광역시 북구 군왕로 234,"(각화동,각화중학교)",062-250-1600,http://www.gakhwa.ms.kr,남녀공학
S050000171,광주광역시 북구 설죽로 369,"(삼각동, 고려중학교)",062-570-9275,www.korea.ms.kr,남
S050000172,광주광역시 북구 금호로40번길 40,"(용봉동,광주경신중학교) ",062-605-4851,www.gsin.ms.kr,남녀공학
S050000173,광주광역시 북구 동문대로 50,(두암동),062-520-2131,,녀
S050000174,광주광역시 북구 동문대로 50,"(풍향동, 광주동신중학교)",062-520-2121,http://k-dongshin.ms.kr/,남
S050000175,광주광역시 동구 지원로5번길 12,"(소태동,무등중학교)",220-2300,www.mudung.ms.kr,남녀공학
S050000176,광주 북구 금남로 61,"(유동,광주북성중학교)",062-607-7000,http://www.buksung.ms.kr,남녀공학
S050000178,광주광역시 북구 모룡대길 40,"(일곡동,광주숭일중고등학교)",625720177,http://www.soongil.ms.kr/,남녀공학
S050000180,광주광역시 북구 금호로 100,", 금호중앙중학교 (운암동)",062-605-5001,www.kumho-jungang.ms.kr,남녀공학
S050000181,광주광역시 광산구 왕버들로 307,(신창동),062-960-2240,http://www.jinheung.ms.kr/,남녀공학
S050000182,광주광역시 북구 하서로 55,(운암동),520-8723,http://www.gwangju-p.ms.kr/,남녀공학
S050000183,광주광역시 동구 경양로 379번길 19,(산수동),062-230-9500,http://choongjang.ms.kr,남녀공학
S050000185,광주광역시 북구 밤실로208번길 23,"(두암동,두암중학교)",062-260-0504,www.duam.ms.kr,남녀공학
S050000186,광주광역시 북구 대천로 174,"(문흥동,문산중학교)",062-260-3500,http://www.kms.ms.kr,남녀공학
S050000188,광주광역시 북구 면앙로 111,"(우산동,문화중학교)",062-260-8645,http://www.kmh.ms.kr,남녀공학
S050000189,광주광역시 북구 능안로 2,"(문흥동,문흥중학교)",250-1524,http://www.munhung.ms.kr,남녀공학
S050000191,광주광역시 동구 필문대로273번길 21,"(지산동,살레시오)",062-220-1500,www.salesio-g.ms.kr,녀
S050000192,광주광역시 북구 모룡대길 67,(일곡동),062-608-9200,http://www.salesio.ms.kr,남
S050000193,광주광역시 북구 서강로 1,서강 중학교 (운암동),062-520-5233,http://www.seogang.ms.kr/,남녀공학
S050000195,광주광역시 북구 면앙로165번길 80,"(두암동,신광중학교)",062-250-6556,http://www.shingwang.ms.kr/,남녀공학
S050000196,광주광역시 북구 하서로229번길 30,", 양산중학교 (양산동)",062-570-6111,http://www.yangsan.ms.kr,남녀공학
S050000197,광주광역시 북구 서하로274번길 33,", 용봉중학교 (오치동)",062-250-5700,http://www.yongbong.ms.kr,남녀공학
S050000198,광주광역시 북구 신촌로 22,(오치동),062-260-5850,http://www.woosan.ms.kr/,남녀공학
S050000199,광주광역시 동구 의재로 137,"(운림동,운림중학교)",062-230-3906,http://www.unlim.ms.kr,남녀공학
S050000200,광주광역시 북구 서강로131번길 24,"(운암동,운암중학교)",605-6532,http://www.k-unam.ms.kr,남녀공학
S050000201,광주광역시 북구 설죽로 570,"(일곡동,일곡중학교)",062-570-1700,http://www.ilgok.ms.kr,남녀공학
S050000202,광주광역시 북구 일곡택지로 10,"(일곡동,일동중학교)",062-608-1100,http://www.k-ildong.ms.kr,남녀공학
S050000205,광주광역시 동구 필문대로 309-3,"(서석동,조선대학교부속중학교)",062-230-2230,http://www.chosun.ms.kr/,남
S050000206,광주광역시 동구 지산로 16,"(지산동,조선대학교부속여자중학교)",062-230-9451,http://www.chosun-g.ms.kr/,녀
S050000363,광주광역시 서구 화정로 202,"(화정동,광덕중고등학교)",062-380-6600,www.kwangdok.ms.kr,남
S050000365,광주광역시 광산구 사암로158번길 23,(우산동),062-601-6890,http://www.gwangsan.ms.kr,남녀공학
S050000366,광주광역시 광산구 평동로735번길 70,(용동),062-949-5811,http://www.pdong.ms.kr,남녀공학
S050000368,광주광역시 서구 운천로 306,"(쌍촌동,동명중학교)",062-603-8128,www.kdm.ms.kr,남녀공학
S050000369,광주광역시 남구 서문대로627번길 20,", 광주동성여자중학교 (진월동)",062-670-4900,http://www.kds-g.ms.kr/,녀
S050000370,광주광역시 남구 서문대로627번길 20,", 광주동성중학교 (진월동)",062-670-4852,http://www.dongsung.ms.kr/,남
S050000371,광주광역시 남구 중앙로 7,"(월산동,무진중학교)",062-350-5321,http://mujin.ms.kr,남녀공학
S050000373,광주광역시 남구 진다리로24번길 13,"(백운동, 광주서광중학교)",062-652-0971,http://www.seokwang.ms.kr,남녀공학
S050000374,광주광역시 서구 화정로253번길 27,", 광주서석중학교 (화정동)",062-360-3900,http://www.seoseok.ms.kr,남
S050000375,광주광역시 남구 송암로 73,", 광주송원중학교 (송하동)",062-360-5533,http://www.swon.ms.kr,남녀공학
S050000376,광주광역시 남구 백서로 13,(양림동),062-720-8282,www.speer.ms.kr,녀
S050000377,광주광역시 서구 화개중앙로 60,", 광주중학교 (금호동)",062-650-0700,http://www.kwangju.ms.kr,남녀공학
S050000379,광주광역시 서구 화운로 53,"(화정동,광주화정중학교)",062-380-3700,http://www.hwajeong.ms.kr,남녀공학
S050000381,광주광역시 서구 쌍촌로15번길 8,"(쌍촌동,광주효광중학교)",062-380-7352,http://www.hyogwang.ms.kr.,남녀공학
S050000382,광주광역시 광산구 목련로153번길 76,(운남동),062-960-0116,http://www.geumgu.ms.kr,남녀공학
S050000383,광주광역시 남구 회재로1156번길 9,"(주월동,금당중학교)",062-650-0800,http://www.keumdang.ms.kr/,남녀공학
S050000385,광주광역시 서구 금화로115번길 72,(금호동),062-370-0700,http://www.kumho.ms.kr,남녀공학
S050000386,광주광역시 남구 서문대로663번길 37,(진월동),062-671-0216,http://www.kds.ms.kr/,녀
S050000387,광주광역시 남구 고싸움로164번길 28,"(지석동,대촌중학교)",062-712-3143,http://www.dechon.ms.kr,남녀공학
S050000388,광주광역시 남구 오방로 16-10,"(봉선동,동아여자중학교)",062-650-1200,www.donga.ms.kr,녀
S050000390,광주광역시 남구 제석로 73,"(봉선동, 문성중고등학교)",062-670-7600,http://www.mun-sung.ms.kr,남
S050000392,광주광역시 남구 봉선중길 14,", 봉선중학교 (봉선동)",062-650-1300,http://www.bongsun.ms.kr,남녀공학
S050000393,광주광역시 광산구 첨단중앙로181번길 42-26,", 비아중학교 (월계동)",070-8668-7100,http://www.bia.ms.kr,남녀공학
S050000394,광주광역시 서구 운천로 142,", 상무중학교 (쌍촌동)",062-380-6311,http://www.sangmu.ms.kr,남녀공학
S050000395,광주광역시 서구 상일1길 31번지,,380-0200,http://www.sang-il.ms.kr,남녀공학
S050000398,광주광역시 광산구 내상로15번길 23,(송정동),062-949-7507,http://www.songjung.ms.kr,남녀공학
S050000399,광주광역시 남구 오방로 34-13, 숭의중학교 (방림동),606-5901,http://www.sungui.ms.kr,남녀공학
S050000400,광주광역시 광산구 목련로 307-10,(운남동),062-960-2580,http://www.unnam.ms.kr/,남녀공학
S050000401,광주광역시 광산구 첨단중앙로181번길 82,(월계동),062-970-9700,www.wolgye.ms.kr,남녀공학
S050000402,광주광역시 광산구 월곡산정로 95,(월곡동),950-7681,http://k-wolgok.ms.kr/,남녀공학
S050000403,광주광역시 광산구 고봉로 812,"(임곡동,광일고등학교)",062-952-8502,http://www.imgok.ms.kr,남녀공학
S050000404,광주광역시 광산구 소촌로 90-36,(소촌동),062-949-5502,www.jg.ms.kr,남녀공학
S050000405,광주광역시 남구 옹정길 9,", 주월중학교 (주월동)",062-670-5810,http://www.juwol.ms.kr,남녀공학
S050000406,광주광역시 광산구 월계로16번길 78,(월계동),062-970-4000,http://www.chgok.ms.kr/,남녀공학
S050000407,광주광역시 서구 화정로21번길 5,", 치평중학교 (쌍촌동)",062-380-2354,http://www.chipyong.ms.kr/,남녀공학
S050000408,광주광역시 서구 풍암순환로 51,"(풍암동,풍암중학교)",062-650-9500,http://www.pungam.ms.kr,남녀공학
S050000410,광주광역시 광산구 산정로6번길 21-2,(월곡동),062-958-5200,http://k-hanam.ms.kr/,남녀공학
S050000991,광주광역시 서구 상무공원로 70,(치평동),062-720-5106,http://www.jeonnam.ms.kr,남녀공학
S050001120,광주광역시 광산구 첨단내촌로 16,(월계동),062-970-9500,http://www.cheomdan.ms.kr,남녀공학
S050001130,광주광역시 광산구 송정로 74,", 송광중학교 (송정동)",062-949-6440,http://www.songgwang.ms.kr,남녀공학
S050001131,광주광역시 광산구 신창로 26,", 신가중학교 (신창동)",062-960-7307,http://singa.ms.kr,남녀공학
S050001132,광주광역시 광산구 사암로340번안길 21,", 영천중학교 (월곡동)",062-958-4721,http://ychun.ms.kr,남녀공학
S050001133,광주광역시 광산구 산월로 67,"(산월동,봉산중학교)",970-4438,http://www.kbongsan.ms.kr/,남녀공학
S050001170,광주광역시 광산구 왕버들로290번길 40,(신창동),062-958-9500,http://shin-chang.ms.kr,남녀공학
