시도교육청,지역교육청,지역,"정보공시 
학교코드",학교명,학교급코드,설립구분,제외여부,제외사유,"주 출입구 
접근로 
설치여부","장애인 전용 주차구역 
지정여부","주출입구 
높이차이 
제거여부","출입구(문) 
설치유무",복도,"계단/승강기/
경사로/
휠체어리프트 유무","장애인용 대변기 
설치여부","장애인용 소변기 
설치여부"," 점자블록 
설치여부"," 유도 및 안내설비 
설치여부"," 경보 및 피난설비 
설치여부"
인천광역시교육청,인천광역시서부교육지원청,인천광역시 계양구,S040001793,인천귤현초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040001795,인천원당초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040001796,인천능내초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040001797,인천완정초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,미설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 계양구,S040001800,인천당산초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040001803,인천청라초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 계양구,S040001804,인천양촌초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040001815,인천영선초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001841,인천동방초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001842,인천장도초등학교,2,공립,N,,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040001843,인천신송초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시북부교육지원청,인천광역시 부평구,S040001845,인천금마초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001858,인천은봉초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040001859,인천해송초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001870,인천정각초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 남구,S040001951,인천경원초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 남구,S040001953,인천학산초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001954,인천상아초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001958,인천고잔초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040001959,인천공촌초등학교,2,공립,N,,적정설치,적정설치,적정설치,단순설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001961,인천사리울초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001966,인천송천초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 중구,S040001968,인천운남초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040001971,인천원동초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040002022,인천신정초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040002027,인천초은초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040002028,인천가원초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040002037,인천청일초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040002040,인천도담초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040002045,인천장서초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040002053,인천연송초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040002058,인천송일초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040002063,인천첨단초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040002064,인천송명초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040002065,인천송원초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040002067,인천청람초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,미설치,적정설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040002068,인천경명초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,미설치
인천광역시교육청,인천광역시서부교육지원청,인천광역시 서구,S040002070,인천해원초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 중구,S040002081,인천하늘초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 남구,S040002154,인천용학초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 연수구,S040002175,인천명선초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
인천광역시교육청,인천광역시동부교육지원청,인천광역시 남동구,S040002176,인천한빛초등학교,2,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000317,강남중학교,3,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000318,강서중학교,3,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000320,강화여자중학교,3,공립,N,,미설치,단순설치,적정설치,단순설치,적정설치,단순설치,적정설치,미설치,미설치,미설치,미설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000321,강화중학교,3,공립,N,,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000322,교동중학교,3,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000323,동광중학교,3,사립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000325,삼산승영중학교,3,사립,N,,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000326,서도중학교,3,공립,N,,단순설치,미설치,미설치,단순설치,미설치,단순설치,적정설치,적정설치,미설치,미설치,미설치
인천광역시교육청,인천광역시강화교육지원청,인천광역시 강화군,S040000329,심도중학교,3,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 남구,S040000412,관교여자중학교,3,공립,N,,적정설치,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치,미설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 남구,S040000413,관교중학교,3,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 중구,S040000414,광성중학교,3,사립,N,,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 남구,S040000416,남인천여자중학교,3,공립,N,,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 옹진군,S040000417,대청중학교,3,공립,N,,미설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 동구,S040000419,재능중학교,3,사립,N,,적정설치,미설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,미설치,미설치
인천광역시교육청,인천광역시남부교육지원청,인천광역시 옹진군,S040000420,덕적중학교,3,공립,N,,적정설치,적정설치,적정설치,적정설치,미설치,미설치,미설치,미설치,미설치,미설치,미설치
